<eObjectEntry  timestamp='1362931614235' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614266' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614290' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614334' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614396' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614454' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362932969230' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362932970779' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362932970788' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362932970797' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362932970806' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362932970814' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362932970822' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
